source_file,duration_s,sr,active_s,n_cycles,n_validated,n_rejected,valley_med_cm,peak_med_cm,gap_med_cm,hub_x_cm,hub_y_cm,nose_deg,time_lying_s,time_sitting_s,time_standing_s,time_walking_s,distance_walked_m,n_steps_walking,n_walking_bouts,mean_stride_m,n_sts,s1_tilt_med_deg,s1_tilt_p90_deg
DATA_20260422_083304.BIN,1605.00,90.91,1091.07,77,77,0,2.831,5.799,2.969,-9.051,-0.324,-95.21,846.0,608.8,143.9,6.2,34.3,9,4,1.272,2,57.75,108.70
DATA_20260422_090000.BIN,1332.00,90.91,657.01,48,48,0,3.028,7.099,4.070,-10.063,1.688,-86.10,651.6,625.3,55.1,0.0,49.2,0,6,1.263,2,58.11,113.14
DATA_20260422_130718.BIN,1420.10,90.91,1236.88,113,113,0,3.552,6.607,3.055,-5.617,2.149,-89.18,1172.3,81.9,157.7,8.1,79.3,10,10,1.300,1,105.33,134.87
DATA_20260422_143621.BIN,1410.85,90.91,878.66,131,131,0,1.701,4.748,3.047,-1.599,0.459,-88.09,675.4,172.7,555.4,7.4,32.0,8,4,1.278,3,30.56,130.53
DATA_20260422_150000.BIN,646.15,90.91,517.18,94,94,0,0.926,3.451,2.525,2.422,-0.809,92.30,505.5,91.2,49.5,0.0,0.0,0,0,0.000,2,85.45,132.69
DATA_20260422_165217.BIN,459.50,90.91,317.97,55,55,0,0.837,3.191,2.353,-1.294,3.472,-102.39,382.2,14.6,47.7,15.0,24.5,19,3,1.291,0,120.54,136.28
DATA_20260422_170000.BIN,1027.70,90.91,777.63,143,143,0,1.593,4.120,2.527,-2.928,2.913,-95.89,884.9,61.4,37.9,43.5,96.6,40,12,1.288,0,106.92,131.22
DATA_20260422_184433.BIN,921.59,90.91,758.80,144,144,0,1.065,3.805,2.740,-1.321,2.911,-92.74,626.5,204.5,90.6,0.0,26.0,0,3,1.300,2,80.49,129.49
DATA_20260422_190000.BIN,493.01,90.91,439.67,114,114,0,1.151,3.257,2.106,-1.127,0.903,87.74,257.7,188.0,18.1,29.2,96.2,23,11,1.300,0,55.62,133.14
DATA_20260422_204028.BIN,7.22,90.91,6.95,0,0,0,nan,nan,nan,27.541,-24.535,-52.63,4.2,0.0,3.0,0.0,0.0,0,0,0.000,0,58.48,68.06
