source_file,duration_s,sr,active_s,n_cycles,n_validated,n_rejected,valley_med_cm,peak_med_cm,gap_med_cm,hub_x_cm,hub_y_cm,nose_deg,time_lying_s,time_sitting_s,time_standing_s,time_walking_s,distance_walked_m,n_steps_walking,n_walking_bouts,mean_stride_m,n_sts,s1_tilt_med_deg,s1_tilt_p90_deg
DATA_20260320_000000.BIN,3341.87,90.91,0.00,0,0,0,nan,nan,nan,0.026,-0.078,0.00,0.0,0.0,3341.9,0.0,0.0,0,0,0.000,0,0.08,0.12
DATA_20260320_010000.BIN,3543.51,90.91,0.00,0,0,0,nan,nan,nan,-0.010,-0.010,0.00,0.0,0.0,3543.5,0.0,0.0,0,0,0.000,0,0.02,0.05
DATA_20260320_020000.BIN,150.11,90.91,0.00,0,0,0,nan,nan,nan,0.017,0.002,0.00,0.0,0.0,150.1,0.0,0.0,0,0,0.000,0,0.01,0.02
DATA_20260320_020809.BIN,1907.11,90.91,0.00,0,0,0,nan,nan,nan,0.036,-0.017,0.00,0.0,0.0,1907.1,0.0,0.0,0,0,0.000,0,0.11,0.16
DATA_20260320_024137.BIN,1078.54,90.91,0.00,0,0,0,nan,nan,nan,0.011,0.064,0.00,0.0,0.0,1078.5,0.0,0.0,0,0,0.000,0,0.07,0.08
DATA_20260320_030000.BIN,742.10,90.91,0.00,0,0,0,nan,nan,nan,0.001,0.008,0.00,0.0,0.0,742.1,0.0,0.0,0,0,0.000,0,0.03,0.05
DATA_20260320_031517.BIN,1837.81,90.91,0.00,0,0,0,nan,nan,nan,-0.092,0.023,0.00,0.0,0.0,1837.8,0.0,0.0,0,0,0.000,0,0.07,0.08
DATA_20260320_034722.BIN,736.34,90.91,0.00,0,0,0,nan,nan,nan,-0.102,0.009,0.00,0.0,0.0,736.3,0.0,0.0,0,0,0.000,0,0.08,0.10
DATA_20260320_040000.BIN,1096.33,90.91,0.00,0,0,0,nan,nan,nan,0.016,-0.036,0.00,0.0,0.0,1096.3,0.0,0.0,0,0,0.000,0,0.06,0.09
DATA_20260320_042139.BIN,1817.78,90.91,0.00,0,0,0,nan,nan,nan,0.151,-0.004,0.00,0.0,0.0,1817.8,0.0,0.0,0,0,0.000,0,0.09,0.13
DATA_20260320_050000.BIN,1807.81,90.91,0.00,0,0,0,nan,nan,nan,0.011,0.013,0.00,0.0,0.0,1807.8,0.0,0.0,0,0,0.000,0,0.02,0.04
DATA_20260320_053046.BIN,884.40,90.91,0.00,0,0,0,nan,nan,nan,2.539,0.683,0.00,34.7,0.0,849.8,0.0,0.0,0,0,0.000,0,0.15,0.18
DATA_20260320_055705.BIN,167.46,90.91,47.59,15,15,0,1.365,5.157,3.793,-3.643,4.626,0.00,152.6,12.7,2.2,0.0,0.0,0,0,0.000,0,75.18,77.54
DATA_20260320_060000.BIN,3558.34,90.91,2502.26,455,455,0,2.651,12.830,10.180,-24.873,9.948,54.86,1803.7,759.1,936.0,59.7,251.2,104,26,1.263,13,55.29,108.17
DATA_20260320_070000.BIN,3553.13,90.91,3525.72,755,755,0,2.232,9.458,7.225,-19.602,19.453,41.45,2055.9,1240.8,164.6,91.8,448.7,154,48,1.271,26,61.48,111.14
DATA_20260320_080000.BIN,3553.37,90.91,3496.00,241,241,0,5.280,15.749,10.469,-12.997,-12.562,-23.36,1699.2,1408.1,319.7,126.4,726.7,217,64,1.259,29,52.73,103.62
DATA_20260320_090000.BIN,3549.79,90.91,789.56,135,135,0,2.037,6.498,4.461,-0.350,-4.037,3.20,3347.0,96.8,58.5,47.5,94.9,65,10,1.300,7,120.55,159.04
DATA_20260320_100000.BIN,3549.55,90.91,1018.69,47,47,0,5.128,15.328,10.201,22.677,-15.462,-91.56,3128.9,138.8,281.8,0.0,51.7,0,6,1.261,0,77.21,148.59
DATA_20260320_110000.BIN,3551.32,90.91,1377.97,256,256,0,2.544,12.042,9.498,6.117,-22.503,-79.43,901.8,2480.1,121.5,47.9,273.3,82,22,1.289,9,46.16,98.26
DATA_20260320_120000.BIN,3551.46,90.91,2174.04,600,600,0,1.686,8.571,6.886,33.302,-21.767,-168.54,2249.1,1132.0,21.1,149.3,506.1,228,36,1.278,14,68.19,104.42
DATA_20260320_130000.BIN,3552.43,90.91,2943.89,924,924,0,1.787,7.535,5.748,46.513,4.553,-53.04,3072.9,0.0,479.6,0.0,1142.8,0,94,1.250,0,97.67,161.66
