day,source,n_files,duration_min,active_min,n_cycles,n_validated,n_rejected,validation_pct,valley_med_cm,peak_med_cm,gap_med_cm,valley_med_validated_cm,peak_med_validated_cm,gap_med_validated_cm,time_lying_min,time_sitting_min,time_standing_min,time_walking_min,distance_walked_m,n_steps_walking,n_walking_bouts,mean_stride_m,n_sts,activity_independent_ribbon,stair_bouts,stair_cycles,stair_floors_est,stair_mean_cadence_cpm,stair_mean_tilt_deg
2026-03-09,2026-03-09,10,407.93,184.90,2733,2733,0,100.00,14.934,48.598,26.111,14.934,48.598,26.111,174.63,179.00,51.46,2.84,622.9,276,50,1.286,35,0,4,78,6.00,28.19,50.61
2026-03-12,2026-03-12,8,358.57,179.57,1468,1468,0,100.00,2.588,10.309,6.588,2.588,10.309,6.588,183.44,112.43,53.43,9.27,2572.5,894,203,1.269,88,0,0,0,0.00,0.00,0.00
2026-03-13,2026-03-13,10,530.20,173.41,1228,1228,0,100.00,2.447,9.112,6.164,2.447,9.112,6.164,327.27,55.45,142.97,4.51,1474.2,440,140,1.272,61,0,0,0,0.00,0.00,0.00
2026-03-14,2026-03-14,14,613.06,209.49,1418,1418,0,100.00,1.659,6.862,4.495,1.659,6.862,4.495,330.08,89.35,188.97,4.67,1603.6,444,139,1.274,74,0,0,0,0.00,0.00,0.00
2026-03-15,2026-03-15,28,823.08,151.97,1397,1397,0,100.00,1.993,8.472,5.476,1.993,8.472,5.476,261.27,163.78,393.07,4.97,1398.4,436,112,1.273,74,0,0,0,0.00,0.00,0.00
2026-03-16,2026-03-16,33,1145.68,318.64,1989,1989,0,100.00,3.105,11.440,7.082,3.105,11.440,7.082,342.10,150.94,646.05,6.60,2015.7,672,196,1.263,100,0,0,0,0.00,0.00,0.00
2026-03-17,2026-03-17,35,1132.39,245.47,2959,2959,0,100.00,2.091,8.746,5.799,2.091,8.746,5.799,345.65,82.53,697.22,7.00,3010.6,673,250,1.274,88,0,0,0,0.00,0.00,0.00
2026-03-18,2026-03-18,35,1131.87,242.24,2471,2471,0,100.00,1.789,6.990,4.406,1.789,6.990,4.406,264.04,150.13,707.99,9.70,3419.6,977,302,1.270,162,0,0,0,0.00,0.00,0.00
2026-03-19,2026-03-19,35,1197.47,274.58,2984,2984,0,100.00,1.891,6.919,4.238,1.891,6.919,4.238,329.48,86.87,763.82,17.29,5379.7,1648,422,1.270,136,0,1,11,0.85,18.03,10.28
2026-03-20,2026-03-20,34,1196.78,314.42,3659,3659,0,100.00,2.125,9.555,6.853,2.125,9.555,6.853,364.34,125.54,697.63,9.26,3646.3,900,322,1.273,103,0,4,74,5.69,21.73,12.67
2026-03-21,2026-03-21,44,1058.71,281.64,3624,3624,0,100.00,1.827,7.212,4.750,1.827,7.212,4.750,344.49,61.49,639.53,13.20,6089.2,1303,482,1.265,109,0,0,0,0.00,0.00,0.00
2026-03-22,2026-03-22,43,1043.75,158.35,1885,1885,0,100.00,1.922,8.283,5.660,1.922,8.283,5.660,335.79,74.34,625.17,8.45,2306.2,831,194,1.270,72,0,1,9,0.69,29.75,21.27
2026-03-23,2026-03-23,40,1191.95,338.89,2430,2430,0,100.00,3.407,12.466,7.818,3.407,12.466,7.818,300.35,86.97,781.66,22.97,7943.6,2447,598,1.267,201,0,0,0,0.00,0.00,0.00
2026-03-24,2026-03-24,39,1194.16,383.41,3396,3396,0,100.00,5.594,19.378,10.832,5.594,19.378,10.832,334.57,158.50,675.93,25.16,8549.4,2672,634,1.265,217,0,4,27,2.08,23.50,21.06
2026-03-25,2026-03-25,33,1046.87,254.47,2732,2732,0,100.00,3.204,13.259,8.988,3.204,13.259,8.988,267.37,123.54,643.43,12.53,5110.6,1305,431,1.268,128,0,1,14,1.08,18.17,13.13
2026-03-26,2026-03-26,21,746.29,318.45,1837,1837,0,100.00,6.070,19.717,12.548,6.070,19.717,12.548,204.60,153.03,377.66,10.99,3064.7,1139,277,1.259,142,0,1,9,0.69,29.10,42.56
