day,source,n_files,duration_min,active_min,n_cycles,n_validated,n_rejected,validation_pct,valley_med_cm,peak_med_cm,gap_med_cm,valley_med_validated_cm,peak_med_validated_cm,gap_med_validated_cm,time_lying_min,time_sitting_min,time_standing_min,time_walking_min,distance_walked_m,n_steps_walking,n_walking_bouts,mean_stride_m,n_sts,activity_independent_ribbon,stair_bouts,stair_cycles,stair_floors_est,stair_mean_cadence_cpm,stair_mean_tilt_deg
2026-03-10,2026-03-10,8,345.00,68.76,517,517,0,100.00,3.011,12.819,8.928,3.011,12.819,8.928,74.34,151.02,116.17,3.48,1140.3,416,99,1.278,49,0,2,25,1.92,22.88,57.51
2026-03-11,2026-03-11,17,668.28,198.40,1625,1625,0,100.00,3.307,12.403,8.015,3.307,12.403,8.015,227.30,144.63,273.47,22.88,6107.4,2662,375,1.277,235,0,2,12,0.92,22.43,108.01
2026-03-12,2026-03-12,18,362.33,9.96,102,102,0,100.00,3.970,15.640,11.589,3.970,15.640,11.589,2.90,15.02,343.58,0.83,160.2,101,17,1.252,11,0,0,0,0.00,0.00,0.00
2026-03-13,2026-03-13,22,580.24,98.77,809,809,0,100.00,3.272,14.583,10.050,3.272,14.583,10.050,101.28,126.71,342.95,9.30,1773.9,1108,144,1.271,131,0,0,0,0.00,0.00,0.00
2026-03-14,2026-03-14,14,667.13,176.00,1492,1492,0,100.00,3.910,16.314,10.065,3.910,16.314,10.065,99.44,189.82,366.33,11.54,3621.1,1389,297,1.272,182,0,2,16,1.23,18.17,11.11
2026-03-15,2026-03-15,16,502.77,92.39,858,858,0,100.00,3.232,14.140,8.978,3.232,14.140,8.978,238.61,113.06,142.92,8.19,1982.0,985,164,1.276,101,0,2,15,1.15,20.10,13.58
2026-03-16,2026-03-16,18,488.65,188.44,812,812,0,100.00,7.518,23.863,12.795,7.518,23.863,12.795,198.49,106.70,168.82,14.65,5140.3,1676,318,1.282,128,0,0,0,0.00,0.00,0.00
2026-03-17,2026-03-17,18,454.64,93.89,606,606,0,100.00,3.544,17.634,12.853,3.544,17.634,12.853,193.24,94.95,159.38,7.07,2146.9,830,169,1.275,91,0,0,0,0.00,0.00,0.00
2026-03-18,2026-03-18,13,443.27,113.22,967,967,0,100.00,4.157,17.902,11.579,4.157,17.902,11.579,163.00,101.33,170.99,7.94,2372.1,961,183,1.279,91,0,2,13,1.00,19.56,11.25
2026-03-19,2026-03-19,15,715.07,194.48,1140,1140,0,100.00,7.746,24.467,11.790,7.746,24.467,11.790,113.35,184.71,397.20,19.81,4131.0,2231,287,1.278,237,0,1,6,0.46,18.60,10.86
2026-03-20,2026-03-20,6,346.69,153.07,1034,1034,0,100.00,5.055,19.828,12.335,5.055,19.828,12.335,141.91,129.19,64.40,11.18,2667.2,1328,222,1.283,143,0,0,0,0.00,0.00,0.00
2026-03-21,2026-03-21,5,274.08,173.99,1388,1388,0,100.00,6.774,21.593,10.082,6.774,21.593,10.082,57.42,145.95,53.02,17.69,3359.1,2046,261,1.270,245,0,2,33,2.54,25.25,15.19
2026-03-22,2026-03-22,15,674.21,194.28,3272,3272,0,100.00,2.545,9.143,6.006,2.545,9.143,6.006,150.17,114.33,374.51,35.19,10349.4,3900,455,1.287,168,0,2,25,1.92,23.44,12.97
2026-03-23,2026-03-23,19,982.49,169.32,797,797,0,100.00,5.143,23.341,14.554,5.143,23.341,14.554,195.25,157.99,617.14,12.10,3232.9,1403,249,1.272,158,0,0,0,0.00,0.00,0.00
2026-03-24,2026-03-24,18,873.23,211.09,2110,2110,0,100.00,5.745,21.506,12.353,5.745,21.506,12.353,89.18,87.75,675.80,20.50,5389.2,2382,342,1.283,226,0,2,21,1.62,18.13,17.57
2026-03-25,2026-03-25,17,941.65,84.05,532,532,0,100.00,4.978,22.341,13.885,4.978,22.341,13.885,175.29,93.28,670.76,2.33,1274.4,289,117,1.278,58,0,0,0,0.00,0.00,0.00
