day,source,n_files,duration_min,active_min,n_cycles,n_validated,n_rejected,validation_pct,valley_med_cm,peak_med_cm,gap_med_cm,valley_med_validated_cm,peak_med_validated_cm,gap_med_validated_cm,time_lying_min,time_sitting_min,time_standing_min,time_walking_min,distance_walked_m,n_steps_walking,n_walking_bouts,mean_stride_m,n_sts,activity_independent_ribbon,stair_bouts,stair_cycles,stair_floors_est,stair_mean_cadence_cpm,stair_mean_tilt_deg
2026-02-04,2026-02-04,8,371.76,93.94,900,900,0,100.00,4.328,18.550,12.817,4.328,18.550,12.817,56.60,193.84,119.03,2.30,643.7,192,53,1.288,52,0,2,19,1.46,21.44,10.55
2026-02-05,2026-02-05,20,983.95,208.60,1683,1683,0,100.00,4.375,19.456,13.458,4.375,19.456,13.458,92.15,482.07,399.89,9.85,1410.2,869,115,1.282,145,0,1,9,0.69,19.68,14.09
2026-02-06,2026-02-06,19,808.95,244.37,2797,2797,0,100.00,2.211,9.387,6.524,2.211,9.387,6.524,100.47,308.56,390.71,9.21,1324.2,787,125,1.270,140,0,1,8,0.62,19.96,20.41
2026-02-07,2026-02-07,14,716.28,156.32,1407,1407,0,100.00,5.108,20.363,12.836,5.108,20.363,12.836,62.36,363.14,284.71,6.08,1065.4,553,104,1.284,109,0,2,16,1.23,24.62,13.10
2026-02-08,2026-02-08,23,864.97,98.61,1004,1004,0,100.00,2.810,14.197,8.382,2.810,14.197,8.382,117.12,202.98,542.77,2.10,524.9,181,55,1.290,42,0,3,37,2.85,25.28,15.95
2026-02-09,2026-02-09,22,721.02,163.03,2321,2321,0,100.00,2.673,10.828,7.915,2.673,10.828,7.915,130.63,210.07,356.16,24.17,3896.3,1897,161,1.293,61,0,1,11,0.85,21.48,12.75
2026-02-10,2026-02-10,19,745.74,265.49,3547,3547,0,100.00,3.203,14.465,10.116,3.203,14.465,10.116,140.05,257.32,326.46,21.92,3067.6,1615,234,1.287,132,0,5,37,2.85,26.75,18.36
2026-02-11,2026-02-11,16,680.58,188.18,1946,1946,0,100.00,3.307,13.816,8.525,3.307,13.816,8.525,188.57,278.65,195.52,17.83,2637.6,1505,183,1.289,85,0,1,8,0.62,22.64,29.69
2026-02-13,2026-02-13,21,899.14,183.43,1785,1785,0,100.00,4.021,16.627,10.737,4.021,16.627,10.737,189.64,211.93,487.47,10.11,1869.7,888,136,1.283,66,0,0,0,0.00,0.00,0.00
2026-02-14,2026-02-14,16,654.28,120.74,987,987,0,100.00,2.928,12.936,8.513,2.928,12.936,8.513,160.29,268.90,224.12,0.98,321.5,82,36,1.292,46,0,3,19,1.46,27.12,22.98
2026-02-15,2026-02-15,18,697.02,89.28,756,756,0,100.00,3.362,15.367,10.485,3.362,15.367,10.485,163.53,148.30,384.24,0.96,411.9,73,46,1.296,28,0,1,15,1.15,27.35,11.76
2026-02-17,2026-02-17,5,121.23,0.26,10,10,0,100.00,30.497,44.655,11.467,30.497,44.655,11.467,0.20,17.60,103.44,0.00,0.0,0,0,0.000,0,0,0,0,0.00,0.00,0.00
2026-02-18,2026-02-18,1,59.04,32.01,177,177,0,100.00,27.592,46.457,19.024,27.592,46.457,19.024,31.90,22.25,4.89,0.00,0.0,0,0,0.000,0,1,0,0,0.00,0.00,0.00
